dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
stl10,resnet18,0,-1,100,56.9625,57.4
stl10,resnet18,0.1,-1,100,56.9625,57.4
stl10,resnet18,0.2,-1,100,56.9625,57.4
stl10,resnet18,0.3,-1,100,56.9625,57.4
stl10,resnet18,0.4,-1,100,56.9625,57.4
stl10,resnet18,0.5,-1,100,56.9625,57.4
stl10,resnet18,0.6,-1,100,56.9625,57.4
stl10,resnet18,0.7,-1,100,56.9625,57.4
stl10,resnet18,0.8,-1,100,56.9625,57.4
stl10,resnet18,0.9,-1,100,56.9625,57.4
stl10,resnet18,1,-1,100,56.9625,57.4
dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
stl10,resnet18,0,-1,100,86.4375,86.575
stl10,resnet18,0.1,-1,100,86.2,86.4375
stl10,resnet18,0.2,-1,100,86.15,86.25
stl10,resnet18,0.3,-1,100,86.175,86.2875
stl10,resnet18,0.4,-1,100,85.8,85.8875
stl10,resnet18,0.5,-1,100,86.0125,86.0625
stl10,resnet18,0.6,-1,100,85.8875,85.8875
stl10,resnet18,0.7,-1,100,83.125,83.1875
stl10,resnet18,0.8,-1,100,83.425,83.775
stl10,resnet18,0.9,-1,100,80.5,80.8875
stl10,resnet18,1,-1,100,83.975,84.4375
