dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
cifar100,vgg16_bn,0,-1,100,57.61,58.64
cifar100,vgg16_bn,0.1,-1,100,15.89,15.95
cifar100,vgg16_bn,0.2,-1,100,33.98,34.47
cifar100,vgg16_bn,0.3,-1,100,9.64,10.38
cifar100,vgg16_bn,0.4,-1,100,37.8,37.86
cifar100,vgg16_bn,0.5,-1,100,49.26,49.26
cifar100,vgg16_bn,0.6,-1,100,21.15,21.8
cifar100,vgg16_bn,0.7,-1,100,15.59,15.99
cifar100,vgg16_bn,0.8,-1,100,14.78,15.2
cifar100,vgg16_bn,0.9,-1,100,13.33,13.72
cifar100,vgg16_bn,1,-1,100,14.02,14.11
cifar100,mobilenetv2,0,-1,100,45.01,45.2
cifar100,mobilenetv2,0.1,-1,100,44.38,44.51
cifar100,mobilenetv2,0.2,-1,100,28.2,28.35
cifar100,mobilenetv2,0.3,-1,100,19.72,19.93
cifar100,mobilenetv2,0.4,-1,100,15.96,16.46
cifar100,mobilenetv2,0.5,-1,100,16.33,16.61
cifar100,mobilenetv2,0.6,-1,100,16.07,16.1
cifar100,mobilenetv2,0.7,-1,100,3.52,3.66
cifar100,mobilenetv2,0.8,-1,100,1.97,2.36
cifar100,mobilenetv2,0.9,-1,100,2.66,2.85
cifar100,mobilenetv2,1,-1,100,19.66,20.06
cifar10,resnet18,0,-1,100,81.14,81.21
cifar10,resnet18,0.1,-1,100,81.15,81.34
cifar10,resnet18,0.2,-1,100,50.23,50.38
cifar10,resnet18,0.3,-1,100,44.84,45.01
cifar10,resnet18,0.4,-1,100,44.71,44.84
cifar10,resnet18,0.5,-1,100,41.3,41.57
cifar10,resnet18,0.6,-1,100,44.42,44.72
cifar10,resnet18,0.7,-1,100,46.28,46.69
cifar10,resnet18,0.8,-1,100,51.49,52.01
cifar10,resnet18,0.9,-1,100,52.24,52.47
cifar10,resnet18,1,-1,100,46.31,46.49
cifar10,vgg16_bn,0,-1,100,86.94,87.6
cifar10,vgg16_bn,0.1,-1,100,86.05,86.73
cifar10,vgg16_bn,0.2,-1,100,86.56,87.13
cifar10,vgg16_bn,0.3,-1,100,81.72,81.88
cifar10,vgg16_bn,0.4,-1,100,76.16,76.51
cifar10,vgg16_bn,0.5,-1,100,53.17,53.27
cifar10,vgg16_bn,0.6,-1,100,49.18,49.51
cifar10,vgg16_bn,0.7,-1,100,46.72,46.72
cifar10,vgg16_bn,0.8,-1,100,45.84,46.46
cifar10,vgg16_bn,0.9,-1,100,48.98,49.07
cifar10,vgg16_bn,1,-1,100,46.9,47.32
cifar10,mobilenetv2,0,-1,100,79.16,79.44
cifar10,mobilenetv2,0.1,-1,100,54.6,55.09
cifar10,mobilenetv2,0.2,-1,100,50.01,50.22
cifar10,mobilenetv2,0.3,-1,100,43.68,44.08
cifar10,mobilenetv2,0.4,-1,100,43.76,44.13
cifar10,mobilenetv2,0.5,-1,100,42.68,42.74
cifar10,mobilenetv2,0.6,-1,100,44.96,45.17
cifar10,mobilenetv2,0.7,-1,100,42.66,43.18
cifar10,mobilenetv2,0.8,-1,100,46.18,46.28
cifar10,mobilenetv2,0.9,-1,100,44.6,45.22
cifar10,mobilenetv2,1,-1,100,14.97,21.4
tinyimagenet200,resnet18,0,-1,100,42.04,42.54
tinyimagenet200,resnet18,0.1,-1,100,38.22,38.44
tinyimagenet200,resnet18,0.2,-1,100,37.07,37.23
tinyimagenet200,resnet18,0.3,-1,100,34.2,34.41
tinyimagenet200,resnet18,0.4,-1,100,30.79,31.02
tinyimagenet200,resnet18,0.5,-1,100,31.24,31.62
tinyimagenet200,resnet18,0.6,-1,100,27.86,28.03
tinyimagenet200,resnet18,0.7,-1,100,22.26,22.42
tinyimagenet200,resnet18,0.8,-1,100,25.48,25.92
tinyimagenet200,resnet18,0.9,-1,100,13.47,13.88
tinyimagenet200,resnet18,1,-1,100,22.63,22.84
tinyimagenet200,vgg16_bn,0,-1,100,23.71,23.89
tinyimagenet200,vgg16_bn,0.1,-1,100,21.49,21.95
tinyimagenet200,vgg16_bn,0.2,-1,100,13.49,13.74
tinyimagenet200,vgg16_bn,0.3,-1,100,10.04,10.35
tinyimagenet200,vgg16_bn,0.4,-1,100,7.42,7.68
tinyimagenet200,vgg16_bn,0.5,-1,100,6.86,7.18
tinyimagenet200,vgg16_bn,0.6,-1,100,7.97,8.68
tinyimagenet200,vgg16_bn,0.7,-1,100,7.74,8.29
tinyimagenet200,vgg16_bn,0.8,-1,100,7.65,8.22
tinyimagenet200,vgg16_bn,0.9,-1,100,7.89,8.33
tinyimagenet200,vgg16_bn,1,-1,100,7.19,7.49
tinyimagenet200,mobilenetv2,0,-1,100,43.19,43.97
tinyimagenet200,mobilenetv2,0.1,-1,100,38.08,38.44
tinyimagenet200,mobilenetv2,0.2,-1,100,19.42,19.63
tinyimagenet200,mobilenetv2,0.3,-1,100,12.6,12.94
tinyimagenet200,mobilenetv2,0.4,-1,100,13.94,14.02
tinyimagenet200,mobilenetv2,0.5,-1,100,11.55,11.69
tinyimagenet200,mobilenetv2,0.6,-1,100,9.33,14.61
tinyimagenet200,mobilenetv2,0.7,-1,100,8.33,8.56
tinyimagenet200,mobilenetv2,0.8,-1,100,8.42,8.61
tinyimagenet200,mobilenetv2,0.9,-1,100,28.89,29.19
tinyimagenet200,mobilenetv2,1,-1,100,24.28,24.34
dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
cifar100,vgg16_bn,0,-1,100,70.56,71.31
cifar100,vgg16_bn,0.1,-1,100,66.11,68.0
cifar100,vgg16_bn,0.2,-1,100,65.66,66.37
cifar100,vgg16_bn,0.3,-1,100,65.54,66.72
cifar100,vgg16_bn,0.4,-1,100,65.7,65.91
cifar100,vgg16_bn,0.5,-1,100,65.3,65.63
cifar100,vgg16_bn,0.6,-1,100,27.9,28.5
cifar100,vgg16_bn,0.7,-1,100,15.55,16.27
cifar100,vgg16_bn,0.8,-1,100,15.06,15.58
cifar100,vgg16_bn,0.9,-1,100,13.7,14.5
cifar100,vgg16_bn,1,-1,100,13.27,13.6
cifar100,mobilenetv2,0,-1,100,48.95,49.24
cifar100,mobilenetv2,0.1,-1,100,48.86,49.15
cifar100,mobilenetv2,0.2,-1,100,22.01,22.2
cifar100,mobilenetv2,0.3,-1,100,15.62,15.93
