dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
cifar100,resnet50,0,-1,100,63.41,63.73
cifar100,resnet50,0.1,-1,100,61.13,61.14
cifar100,resnet50,0.2,-1,100,59.52,59.8
cifar100,resnet50,0.3,-1,100,58.76,58.76
cifar100,resnet50,0.4,-1,100,57.37,57.6
cifar100,resnet50,0.5,-1,100,55.54,55.65
cifar100,resnet50,0.6,-1,100,54.52,54.59
cifar100,resnet50,0.7,-1,100,52.49,52.67
cifar100,resnet50,0.8,-1,100,47.68,47.77
cifar100,resnet50,0.9,-1,100,31.47,32.0
cifar100,resnet50,1,-1,100,20.75,21.09
cifar10,resnet50,0,-1,100,86.99,87.17
cifar10,resnet50,0.1,-1,100,71.48,71.7
cifar10,resnet50,0.2,-1,100,66.18,66.39
cifar10,resnet50,0.3,-1,100,57.65,57.94
cifar10,resnet50,0.4,-1,100,58.14,58.32
cifar10,resnet50,0.5,-1,100,60.54,60.67
cifar10,resnet50,0.6,-1,100,61.89,62.1
cifar10,resnet50,0.7,-1,100,61.57,61.81
cifar10,resnet50,0.8,-1,100,61.9,62.17
cifar10,resnet50,0.9,-1,100,58.63,58.84
cifar10,resnet50,1,-1,100,57.5,57.83
tinyimagenet200,resnet50,0,-1,100,55.49,55.65
tinyimagenet200,resnet50,0.1,-1,100,54.36,54.69
tinyimagenet200,resnet50,0.2,-1,100,53.49,53.74
tinyimagenet200,resnet50,0.3,-1,100,52.78,52.93
tinyimagenet200,resnet50,0.4,-1,100,51.11,51.16
tinyimagenet200,resnet50,0.5,-1,100,48.66,48.86
tinyimagenet200,resnet50,0.6,-1,100,47.69,47.8
tinyimagenet200,resnet50,0.7,-1,100,45.12,45.43
tinyimagenet200,resnet50,0.8,-1,100,44.71,44.87
tinyimagenet200,resnet50,0.9,-1,100,42.29,42.41
tinyimagenet200,resnet50,1,-1,100,26.75,26.86
stl10,resnet50,0,-1,100,67.675,67.7125
stl10,resnet50,0.1,-1,100,67.2375,67.325
stl10,resnet50,0.2,-1,100,67.0125,67.15
stl10,resnet50,0.3,-1,100,66.05,66.275
stl10,resnet50,0.4,-1,100,64.125,64.35
stl10,resnet50,0.5,-1,100,62.9875,63.175
stl10,resnet50,0.6,-1,100,59.2625,59.5125
stl10,resnet50,0.7,-1,100,57.5375,57.8125
stl10,resnet50,0.8,-1,100,55.9,56.15
stl10,resnet50,0.9,-1,100,61.9375,62.1875
stl10,resnet50,1,-1,100,77.4625,77.7625
