dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
cifar10,resnet18,0,-1,100,81.62,81.7
cifar10,resnet18,1,-1,33,84.5,84.71
cifar10,resnet18,2,-1,33,84.5,84.71
dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
cifar10,resnet18,0,-1,10,79.91,79.91
cifar10,resnet18,1,-1,10,83.36,83.36
cifar10,resnet18,2,-1,10,35.43,35.43
cifar10,resnet18,3,-1,10,43.91,43.91
cifar10,resnet18,4,-1,10,50.27,50.41
cifar10,resnet18,5,-1,10,39.04,39.04
cifar10,resnet18,6,-1,10,44.52,46.8
cifar10,resnet18,7,-1,10,31.25,33.59
cifar10,resnet18,8,-1,10,39.58,40.88
cifar10,resnet18,9,-1,10,36.82,37.55
cifar10,resnet18,10,-1,10,28.63,40.98
cifar10,resnet18,11,-1,10,33.59,39.51
cifar10,resnet18,12,-1,10,25.26,25.79
cifar10,resnet18,13,-1,10,40.57,40.57
cifar10,resnet18,14,-1,10,31.17,40.82
cifar10,resnet18,15,-1,10,34.86,34.86
cifar10,resnet18,16,-1,10,42.11,46.0
cifar10,resnet18,17,-1,10,29.58,34.15
cifar10,resnet18,18,-1,10,44.81,44.81
cifar10,resnet18,19,-1,10,35.29,36.73
cifar10,resnet18,20,-1,10,49.51,49.51
cifar10,resnet18,21,-1,10,31.79,33.47
cifar10,resnet18,22,-1,10,25.53,34.9
cifar10,resnet18,23,-1,10,34.38,35.03
cifar10,resnet18,24,-1,10,34.95,34.95
cifar10,resnet18,25,-1,10,42.68,46.03
cifar10,resnet18,26,-1,10,36.17,38.15
cifar10,resnet18,27,-1,10,45.24,45.38
cifar10,resnet18,28,-1,10,23.35,25.24
cifar10,resnet18,29,-1,10,34.01,34.86
cifar10,resnet18,30,-1,10,31.85,32.18
cifar10,resnet18,31,-1,10,36.68,37.34
cifar10,resnet18,32,-1,10,36.6,36.6
cifar10,resnet18,33,-1,10,31.22,31.22
cifar10,resnet18,34,-1,10,31.53,31.53
cifar10,resnet18,35,-1,10,27.54,29.78
cifar10,resnet18,36,-1,10,24.81,38.09
cifar10,resnet18,37,-1,10,24.32,30.6
cifar10,resnet18,38,-1,10,37.67,40.44
cifar10,resnet18,39,-1,10,28.78,31.26
cifar10,resnet18,40,-1,10,34.19,39.28
cifar10,alexnet,0,-1,10,69.74,69.74
cifar10,alexnet,1,-1,10,69.57,71.05
cifar10,alexnet,2,-1,10,71.03,71.03
cifar10,alexnet,3,-1,10,68.24,68.24
cifar10,alexnet,4,-1,10,57.95,61.54
cifar10,alexnet,5,-1,10,38.64,38.64
cifar10,vgg16_bn,0,-1,10,84.21,86.81
cifar10,vgg16_bn,1,-1,10,83.93,87.82
cifar10,vgg16_bn,2,-1,10,75.48,80.3
cifar10,vgg16_bn,3,-1,10,72.82,79.85
cifar10,vgg16_bn,4,-1,10,76.42,81.31
cifar10,vgg16_bn,5,-1,10,75.55,77.03
cifar10,vgg16_bn,6,-1,10,76.26,76.26
cifar10,vgg16_bn,7,-1,10,69.91,70.16
cifar10,vgg16_bn,8,-1,10,75.58,78.33
cifar10,vgg16_bn,9,-1,10,32.79,32.79
cifar10,vgg16_bn,10,-1,10,20.39,20.39
cifar10,vgg16_bn,11,-1,10,75.23,78.25
cifar10,vgg16_bn,12,-1,10,76.95,79.07
cifar10,vgg16_bn,13,-1,10,41.83,47.75
cifar10,vgg16_bn,14,-1,10,58.89,58.89
cifar10,vgg16_bn,15,-1,10,19.31,22.01
cifar10,vgg16_bn,16,-1,10,11.05,12.21
cifar10,vgg16_bn,17,-1,10,18.45,19.14
cifar10,vgg16_bn,18,-1,10,11.7,12.24
cifar10,vgg16_bn,19,-1,10,21.72,21.72
cifar10,vgg16_bn,20,-1,10,14.46,14.46
cifar10,vgg16_bn,21,-1,10,27.44,27.44
cifar10,vgg16_bn,22,-1,10,23.11,23.11
cifar10,vgg16_bn,23,-1,10,11.74,11.86
cifar10,vgg16_bn,24,-1,10,11.89,12.2
cifar10,vgg16_bn,25,-1,10,23.08,23.23
cifar10,vgg16_bn,26,-1,10,11.64,11.89
