dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
cifar100,mobilenetv2,0,-1,100,49.04,49.28
cifar100,mobilenetv2,0.1,-1,100,26.1,26.57
cifar100,mobilenetv2,0.2,-1,100,23.29,23.76
cifar100,mobilenetv2,0.3,-1,100,22.04,22.04
cifar100,mobilenetv2,0.4,-1,100,23.81,24.36
cifar100,mobilenetv2,0.5,-1,100,23.63,24.0
cifar100,mobilenetv2,0.6,-1,100,21.44,21.79
cifar100,mobilenetv2,0.7,-1,100,21.35,21.88
cifar100,mobilenetv2,0.8,-1,100,20.53,20.85
cifar100,mobilenetv2,0.9,-1,100,19.57,19.86
cifar100,mobilenetv2,1,-1,100,19.9,19.99
cifar100,vgg16_bn,0,-1,100,70.52,71.32
cifar100,vgg16_bn,0.1,-1,100,63.93,64.16
cifar100,vgg16_bn,0.2,-1,100,21.41,21.66
cifar100,vgg16_bn,0.3,-1,100,17.57,17.81
cifar100,vgg16_bn,0.4,-1,100,15.53,15.66
cifar100,vgg16_bn,0.5,-1,100,12.48,13.15
cifar100,vgg16_bn,0.6,-1,100,14.26,14.66
cifar100,vgg16_bn,0.7,-1,100,14.79,14.96
cifar100,vgg16_bn,0.8,-1,100,13.34,14.09
cifar100,vgg16_bn,0.9,-1,100,14.14,14.4
cifar100,vgg16_bn,1,-1,100,13.52,13.75
cifar10,resnet18,0,-1,100,86.16,86.27
cifar10,resnet18,0.1,-1,100,77.94,78.01
cifar10,resnet18,0.2,-1,100,74.21,74.25
cifar10,resnet18,0.3,-1,100,62.69,62.89
cifar10,resnet18,0.4,-1,100,58.21,58.23
cifar10,resnet18,0.5,-1,100,57.56,57.62
cifar10,resnet18,0.6,-1,100,56.97,57.14
cifar10,resnet18,0.7,-1,100,57.89,57.89
cifar10,resnet18,0.8,-1,100,56.59,56.73
cifar10,resnet18,0.9,-1,100,55.55,55.71
cifar10,resnet18,1,-1,100,55.12,55.18
cifar10,mobilenetv2,0,-1,100,82.29,82.59
cifar10,mobilenetv2,0.1,-1,100,60.52,60.79
cifar10,mobilenetv2,0.2,-1,100,54.49,54.69
cifar10,mobilenetv2,0.3,-1,100,52.33,52.52
cifar10,mobilenetv2,0.4,-1,100,53.88,54.06
cifar10,mobilenetv2,0.5,-1,100,54.31,54.83
cifar10,mobilenetv2,0.6,-1,100,52.4,52.66
cifar10,mobilenetv2,0.7,-1,100,51.99,52.42
cifar10,mobilenetv2,0.8,-1,100,49.85,50.36
cifar10,mobilenetv2,0.9,-1,100,48.58,48.97
cifar10,mobilenetv2,1,-1,100,52.75,53.1
cifar10,vgg16_bn,0,-1,100,88.69,89.13
cifar10,vgg16_bn,0.1,-1,100,85.03,85.61
cifar10,vgg16_bn,0.2,-1,100,67.85,68.13
cifar10,vgg16_bn,0.3,-1,100,62.88,63.31
cifar10,vgg16_bn,0.4,-1,100,51.33,52.07
cifar10,vgg16_bn,0.5,-1,100,48.35,48.61
cifar10,vgg16_bn,0.6,-1,100,49.15,49.63
cifar10,vgg16_bn,0.7,-1,100,49.17,49.48
cifar10,vgg16_bn,0.8,-1,100,48.2,48.51
cifar10,vgg16_bn,0.9,-1,100,48.02,48.54
cifar10,vgg16_bn,1,-1,100,48.73,49.56
tinyimagenet200,resnet18,0,-1,100,43.37,44.24
tinyimagenet200,resnet18,0.1,-1,100,40.56,40.85
tinyimagenet200,resnet18,0.2,-1,100,38.82,39.1
tinyimagenet200,resnet18,0.3,-1,100,35.16,35.43
tinyimagenet200,resnet18,0.4,-1,100,32.76,33.11
tinyimagenet200,resnet18,0.5,-1,100,30.55,30.82
tinyimagenet200,resnet18,0.6,-1,100,26.93,27.02
tinyimagenet200,resnet18,0.7,-1,100,26.63,26.9
tinyimagenet200,resnet18,0.8,-1,100,24.71,24.95
tinyimagenet200,resnet18,0.9,-1,100,23.3,23.61
tinyimagenet200,resnet18,1,-1,100,14.25,14.33
tinyimagenet200,mobilenetv2,0,-1,100,44.4,45.83
tinyimagenet200,mobilenetv2,0.1,-1,100,43.53,44.39
tinyimagenet200,mobilenetv2,0.2,-1,100,42.31,43.18
tinyimagenet200,mobilenetv2,0.3,-1,100,41.85,42.45
tinyimagenet200,mobilenetv2,0.4,-1,100,40.52,40.99
tinyimagenet200,mobilenetv2,0.5,-1,100,40.13,40.5
tinyimagenet200,mobilenetv2,0.6,-1,100,39.2,39.53
tinyimagenet200,mobilenetv2,0.7,-1,100,37.09,37.52
tinyimagenet200,mobilenetv2,0.8,-1,100,32.88,33.35
tinyimagenet200,mobilenetv2,0.9,-1,100,31.14,31.47
tinyimagenet200,mobilenetv2,1,-1,100,17.64,17.74
tinyimagenet200,vgg16_bn,0,-1,100,31.82,38.2
tinyimagenet200,vgg16_bn,0.1,-1,100,28.95,30.73
tinyimagenet200,vgg16_bn,0.2,-1,100,19.98,20.06
tinyimagenet200,vgg16_bn,0.3,-1,100,15.11,15.65
tinyimagenet200,vgg16_bn,0.4,-1,100,11.08,11.37
tinyimagenet200,vgg16_bn,0.5,-1,100,9.3,9.52
tinyimagenet200,vgg16_bn,0.6,-1,100,8.21,8.32
tinyimagenet200,vgg16_bn,0.7,-1,100,7.88,7.97
tinyimagenet200,vgg16_bn,0.8,-1,100,6.63,7.32
tinyimagenet200,vgg16_bn,0.9,-1,100,6.56,7.0
tinyimagenet200,vgg16_bn,1,-1,100,5.15,5.29
