dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
cifar100,resnet50,0,-1,100,63.37,63.72
cifar100,resnet50,0.1,-1,100,60.24,60.57
cifar100,resnet50,0.2,-1,100,59.7,60.03
cifar100,resnet50,0.3,-1,100,56.33,56.49
cifar100,resnet50,0.4,-1,100,54.98,55.25
cifar100,resnet50,0.5,-1,100,42.5,42.65
cifar100,resnet50,0.6,-1,100,37.14,37.43
cifar100,resnet50,0.7,-1,100,34.62,34.86
cifar100,resnet50,0.8,-1,100,32.82,33.21
cifar100,resnet50,0.9,-1,100,26.78,27.1
cifar100,resnet50,1,-1,100,21.29,21.64
cifar10,resnet50,0,-1,100,86.95,87.27
cifar10,resnet50,0.1,-1,100,71.03,71.11
cifar10,resnet50,0.2,-1,100,66.75,66.9
cifar10,resnet50,0.3,-1,100,57.94,58.01
cifar10,resnet50,0.4,-1,100,58.29,58.45
cifar10,resnet50,0.5,-1,100,60.58,60.84
cifar10,resnet50,0.6,-1,100,61.82,62.26
cifar10,resnet50,0.7,-1,100,61.69,61.83
cifar10,resnet50,0.8,-1,100,61.97,62.32
cifar10,resnet50,0.9,-1,100,58.94,59.21
cifar10,resnet50,1,-1,100,57.82,57.96
tinyimagenet200,resnet50,0,-1,100,55.49,55.64
tinyimagenet200,resnet50,0.1,-1,100,53.81,53.95
tinyimagenet200,resnet50,0.2,-1,100,53.44,53.61
tinyimagenet200,resnet50,0.3,-1,100,53.03,53.18
tinyimagenet200,resnet50,0.4,-1,100,52.45,52.49
tinyimagenet200,resnet50,0.5,-1,100,50.83,51.0
tinyimagenet200,resnet50,0.6,-1,100,49.99,50.28
tinyimagenet200,resnet50,0.7,-1,100,49.62,49.91
tinyimagenet200,resnet50,0.8,-1,100,48.05,48.29
tinyimagenet200,resnet50,0.9,-1,100,40.99,41.3
tinyimagenet200,resnet50,1,-1,100,26.88,26.88
stl10,resnet50,0,-1,100,67.6625,67.725
stl10,resnet50,0.1,-1,100,64.075,64.1875
stl10,resnet50,0.2,-1,100,65.7875,65.875
stl10,resnet50,0.3,-1,100,63.55,63.825
stl10,resnet50,0.4,-1,100,64.35,64.5
stl10,resnet50,0.5,-1,100,64.3625,64.5125
stl10,resnet50,0.6,-1,100,67.6375,67.7375
stl10,resnet50,0.7,-1,100,69.0375,69.3125
stl10,resnet50,0.8,-1,100,71.3875,71.6375
stl10,resnet50,0.9,-1,100,75.8375,76.2
stl10,resnet50,1,-1,100,77.55,77.925
