dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
tinyimagenet200,resnet18,0.4,0.4,100,18.25,18.38
tinyimagenet200,resnet18,0.4,0.5,100,19.13,19.26
tinyimagenet200,resnet18,0.4,0.6,100,21.38,21.74
tinyimagenet200,resnet18,0.4,0.7,100,25.17,25.31
tinyimagenet200,resnet18,0.4,0.8,100,29.34,29.59
tinyimagenet200,resnet18,0.4,0.9,100,33.1,33.5
tinyimagenet200,resnet18,0.5,0.4,100,17.19,17.4
tinyimagenet200,resnet18,0.5,0.5,100,17.73,18.38
tinyimagenet200,resnet18,0.5,0.6,100,19.89,20.03
tinyimagenet200,resnet18,0.5,0.7,100,21.93,22.18
tinyimagenet200,resnet18,0.5,0.8,100,25.78,25.91
tinyimagenet200,resnet18,0.5,0.9,100,30.5,30.77
tinyimagenet200,resnet18,0.6,0.4,100,9.63,9.67
tinyimagenet200,resnet18,0.6,0.5,100,9.19,9.39
tinyimagenet200,resnet18,0.6,0.6,100,9.63,9.72
tinyimagenet200,resnet18,0.6,0.7,100,9.86,9.94
tinyimagenet200,resnet18,0.6,0.8,100,9.82,10.02
tinyimagenet200,resnet18,0.6,0.9,100,10.07,10.14
tinyimagenet200,resnet18,0.7,0.4,100,10.71,11.02
tinyimagenet200,resnet18,0.7,0.5,100,11.12,11.31
tinyimagenet200,resnet18,0.7,0.6,100,11.18,11.36
tinyimagenet200,resnet18,0.7,0.7,100,12.23,12.37
tinyimagenet200,resnet18,0.7,0.8,100,12.28,12.53
tinyimagenet200,resnet18,0.7,0.9,100,12.51,12.57
tinyimagenet200,resnet18,0.8,0.4,100,13.96,14.22
tinyimagenet200,resnet18,0.8,0.5,100,14.38,14.38
tinyimagenet200,resnet18,0.8,0.6,100,14.31,14.67
tinyimagenet200,resnet18,0.8,0.7,100,14.84,14.93
tinyimagenet200,resnet18,0.8,0.8,100,14.46,14.51
tinyimagenet200,resnet18,0.8,0.9,100,14.81,14.94
tinyimagenet200,resnet18,0.9,0.4,100,16.07,16.32
tinyimagenet200,resnet18,0.9,0.5,100,16.65,16.7
tinyimagenet200,resnet18,0.9,0.6,100,17.62,18.06
tinyimagenet200,resnet18,0.9,0.7,100,17.81,18.05
tinyimagenet200,resnet18,0.9,0.8,100,17.94,18.27
tinyimagenet200,resnet18,0.9,0.9,100,18.39,18.57
tinyimagenet200,alexnet,0.4,0.4,100,1.59,1.76
tinyimagenet200,alexnet,0.4,0.5,100,2.79,2.85
tinyimagenet200,alexnet,0.4,0.6,100,3.18,3.27
tinyimagenet200,alexnet,0.4,0.7,100,3.39,3.7
tinyimagenet200,alexnet,0.4,0.8,100,3.76,4.14
tinyimagenet200,alexnet,0.4,0.9,100,3.99,4.38
tinyimagenet200,alexnet,0.5,0.4,100,1.09,1.23
tinyimagenet200,alexnet,0.5,0.5,100,1.27,1.43
tinyimagenet200,alexnet,0.5,0.6,100,1.89,2.04
tinyimagenet200,alexnet,0.5,0.7,100,2.59,2.74
tinyimagenet200,alexnet,0.5,0.8,100,2.64,2.97
tinyimagenet200,alexnet,0.5,0.9,100,2.79,2.97
tinyimagenet200,alexnet,0.6,0.4,100,1.09,1.24
tinyimagenet200,alexnet,0.6,0.5,100,1.27,1.43
tinyimagenet200,alexnet,0.6,0.6,100,1.88,2.04
tinyimagenet200,alexnet,0.6,0.7,100,2.6,2.79
tinyimagenet200,alexnet,0.6,0.8,100,2.65,2.96
tinyimagenet200,alexnet,0.6,0.9,100,2.77,2.96
tinyimagenet200,alexnet,0.7,0.4,100,0.52,0.65
tinyimagenet200,alexnet,0.7,0.5,100,0.87,0.98
tinyimagenet200,alexnet,0.7,0.6,100,1.04,1.26
tinyimagenet200,alexnet,0.7,0.7,100,1.2,1.39
tinyimagenet200,alexnet,0.7,0.8,100,1.3,1.38
