dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
cifar100,mobilenetv2,0,-1,100,49.05,49.37
cifar100,mobilenetv2,0.1,-1,100,22.38,22.6
cifar100,mobilenetv2,0.2,-1,100,21.7,22.24
cifar100,mobilenetv2,0.3,-1,100,20.06,20.4
cifar100,mobilenetv2,0.4,-1,100,15.46,15.58
cifar100,mobilenetv2,0.5,-1,100,16.71,16.96
cifar100,mobilenetv2,0.6,-1,100,13.43,13.59
cifar100,mobilenetv2,0.7,-1,100,13.56,13.62
cifar100,mobilenetv2,0.8,-1,100,11.24,11.79
cifar100,mobilenetv2,0.9,-1,100,15.6,15.9
cifar100,mobilenetv2,1,-1,100,19.08,19.25
cifar100,vgg16_bn,0,-1,100,70.55,71.28
cifar100,vgg16_bn,0.1,-1,100,66.15,67.81
cifar100,vgg16_bn,0.2,-1,100,65.19,65.75
cifar100,vgg16_bn,0.3,-1,100,63.96,64.3
cifar100,vgg16_bn,0.4,-1,100,64.89,65.39
cifar100,vgg16_bn,0.5,-1,100,65.5,65.68
cifar100,vgg16_bn,0.6,-1,100,28.15,28.52
cifar100,vgg16_bn,0.7,-1,100,14.49,15.06
cifar100,vgg16_bn,0.8,-1,100,13.71,14.02
cifar100,vgg16_bn,0.9,-1,100,13.1,13.7
cifar100,vgg16_bn,1,-1,100,13.15,13.93
cifar10,resnet18,0,-1,100,86.11,86.3
cifar10,resnet18,0.1,-1,100,85.5,85.51
cifar10,resnet18,0.2,-1,100,82.27,82.39
cifar10,resnet18,0.3,-1,100,79.88,80.14
cifar10,resnet18,0.4,-1,100,67.64,67.71
cifar10,resnet18,0.5,-1,100,71.86,72.02
cifar10,resnet18,0.6,-1,100,74.83,75.08
cifar10,resnet18,0.7,-1,100,64.63,64.63
cifar10,resnet18,0.8,-1,100,60.91,61.29
cifar10,resnet18,0.9,-1,100,53.45,53.61
cifar10,resnet18,1,-1,100,54.86,55.08
cifar10,mobilenetv2,0,-1,100,82.31,82.52
cifar10,mobilenetv2,0.1,-1,100,48.82,49.22
cifar10,mobilenetv2,0.2,-1,100,48.03,48.19
cifar10,mobilenetv2,0.3,-1,100,44.8,45.33
cifar10,mobilenetv2,0.4,-1,100,41.78,41.88
cifar10,mobilenetv2,0.5,-1,100,40.52,40.55
cifar10,mobilenetv2,0.6,-1,100,42.66,43.09
cifar10,mobilenetv2,0.7,-1,100,48.59,49.03
cifar10,mobilenetv2,0.8,-1,100,36.3,36.75
cifar10,mobilenetv2,0.9,-1,100,38.92,39.33
cifar10,mobilenetv2,1,-1,100,52.52,52.6
cifar10,vgg16_bn,0,-1,100,88.68,89.12
cifar10,vgg16_bn,0.1,-1,100,88.72,89.13
cifar10,vgg16_bn,0.2,-1,100,87.48,88.02
cifar10,vgg16_bn,0.3,-1,100,87.13,87.89
cifar10,vgg16_bn,0.4,-1,100,86.76,87.31
cifar10,vgg16_bn,0.5,-1,100,86.22,86.81
cifar10,vgg16_bn,0.6,-1,100,57.83,58.54
cifar10,vgg16_bn,0.7,-1,100,52.52,52.52
cifar10,vgg16_bn,0.8,-1,100,52.76,52.85
cifar10,vgg16_bn,0.9,-1,100,50.86,50.86
cifar10,vgg16_bn,1,-1,100,49.85,49.85
tinyimagenet200,resnet18,0,-1,100,43.38,44.24
tinyimagenet200,resnet18,0.1,-1,100,40.62,40.97
tinyimagenet200,resnet18,0.2,-1,100,38.04,38.35
tinyimagenet200,resnet18,0.3,-1,100,36.69,36.87
tinyimagenet200,resnet18,0.4,-1,100,34.81,35.48
tinyimagenet200,resnet18,0.5,-1,100,35.52,35.85
tinyimagenet200,resnet18,0.6,-1,100,30.03,30.23
tinyimagenet200,resnet18,0.7,-1,100,26.38,26.61
tinyimagenet200,resnet18,0.8,-1,100,12.98,13.08
tinyimagenet200,resnet18,0.9,-1,100,14.15,14.33
tinyimagenet200,resnet18,1,-1,100,14.2,14.24
tinyimagenet200,mobilenetv2,0,-1,100,44.4,45.8
tinyimagenet200,mobilenetv2,0.1,-1,100,43.17,43.67
tinyimagenet200,mobilenetv2,0.2,-1,100,41.35,41.59
tinyimagenet200,mobilenetv2,0.3,-1,100,39.76,40.16
tinyimagenet200,mobilenetv2,0.4,-1,100,37.56,37.71
tinyimagenet200,mobilenetv2,0.5,-1,100,37.93,38.48
tinyimagenet200,mobilenetv2,0.6,-1,100,37.83,38.2
tinyimagenet200,mobilenetv2,0.7,-1,100,36.85,37.05
tinyimagenet200,mobilenetv2,0.8,-1,100,36.39,36.63
tinyimagenet200,mobilenetv2,0.9,-1,100,31.01,31.19
tinyimagenet200,mobilenetv2,1,-1,100,17.78,17.84
tinyimagenet200,vgg16_bn,0,-1,100,31.92,38.25
tinyimagenet200,vgg16_bn,0.1,-1,100,29.02,30.69
tinyimagenet200,vgg16_bn,0.2,-1,100,19.91,20.1
tinyimagenet200,vgg16_bn,0.3,-1,100,15.47,15.7
tinyimagenet200,vgg16_bn,0.4,-1,100,10.91,11.34
tinyimagenet200,vgg16_bn,0.5,-1,100,9.24,9.52
tinyimagenet200,vgg16_bn,0.6,-1,100,7.85,8.44
tinyimagenet200,vgg16_bn,0.7,-1,100,8.02,8.39
tinyimagenet200,vgg16_bn,0.8,-1,100,6.85,7.09
tinyimagenet200,vgg16_bn,0.9,-1,100,6.68,6.9
tinyimagenet200,vgg16_bn,1,-1,100,5.35,5.35
