dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
cifar100,resnet50,0,-1,100,11.4,11.59
cifar100,resnet50,0.1,-1,100,11.4,11.59
cifar100,resnet50,0.2,-1,100,11.4,11.59
cifar100,resnet50,0.3,-1,100,11.4,11.59
cifar100,resnet50,0.4,-1,100,11.4,11.59
cifar100,resnet50,0.5,-1,100,11.4,11.59
cifar100,resnet50,0.6,-1,100,11.4,11.59
cifar100,resnet50,0.7,-1,100,11.4,11.59
cifar100,resnet50,0.8,-1,100,11.4,11.59
cifar100,resnet50,0.9,-1,100,11.4,11.59
cifar100,resnet50,1,-1,100,11.4,11.59
dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
cifar100,resnet50,0,-1,100,63.45,63.59
cifar100,resnet50,0.1,-1,100,61.29,61.44
cifar100,resnet50,0.2,-1,100,60.96,61.24
cifar100,resnet50,0.3,-1,100,60.81,60.87
cifar100,resnet50,0.4,-1,100,59.54,59.63
cifar100,resnet50,0.5,-1,100,56.75,56.93
cifar100,resnet50,0.6,-1,100,55.16,55.3
cifar100,resnet50,0.7,-1,100,50.59,50.76
cifar100,resnet50,0.8,-1,100,46.87,47.06
cifar100,resnet50,0.9,-1,100,29.02,29.44
cifar100,resnet50,1,-1,100,21.01,21.16
cifar10,resnet50,0,-1,100,86.94,87.22
cifar10,resnet50,0.1,-1,100,87.09,87.25
cifar10,resnet50,0.2,-1,100,83.09,83.25
cifar10,resnet50,0.3,-1,100,74.15,74.35
cifar10,resnet50,0.4,-1,100,70.48,70.6
cifar10,resnet50,0.5,-1,100,57.78,58.47
cifar10,resnet50,0.6,-1,100,65.12,65.52
cifar10,resnet50,0.7,-1,100,63.48,63.62
cifar10,resnet50,0.8,-1,100,53.08,53.57
cifar10,resnet50,0.9,-1,100,51.8,51.95
cifar10,resnet50,1,-1,100,57.17,57.59
tinyimagenet200,resnet50,0,-1,100,55.48,55.67
tinyimagenet200,resnet50,0.1,-1,100,54.27,54.49
tinyimagenet200,resnet50,0.2,-1,100,54.54,54.77
tinyimagenet200,resnet50,0.3,-1,100,54.25,54.56
tinyimagenet200,resnet50,0.4,-1,100,52.59,52.76
tinyimagenet200,resnet50,0.5,-1,100,51.57,51.79
tinyimagenet200,resnet50,0.6,-1,100,49.1,49.39
tinyimagenet200,resnet50,0.7,-1,100,47.54,47.85
tinyimagenet200,resnet50,0.8,-1,100,46.51,46.73
tinyimagenet200,resnet50,0.9,-1,100,44.29,44.43
tinyimagenet200,resnet50,1,-1,100,26.79,26.83
stl10,resnet50,0,-1,100,67.6375,67.7125
stl10,resnet50,0.1,-1,100,66.9125,67.125
stl10,resnet50,0.2,-1,100,66.95,67.1625
stl10,resnet50,0.3,-1,100,65.5,65.6
stl10,resnet50,0.4,-1,100,61.475,61.4875
stl10,resnet50,0.5,-1,100,58.775,59.0125
stl10,resnet50,0.6,-1,100,58.9875,59.5875
stl10,resnet50,0.7,-1,100,58.0625,58.5125
stl10,resnet50,0.8,-1,100,60.85,60.9625
stl10,resnet50,0.9,-1,100,75.025,75.25
stl10,resnet50,1,-1,100,77.425,77.7125
