dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
tinyimagenet200,resnet18,0.4,0.4,100,38.69,39.06
tinyimagenet200,resnet18,0.4,0.5,100,38.19,38.86
tinyimagenet200,resnet18,0.4,0.6,100,38.28,38.66
tinyimagenet200,resnet18,0.4,0.7,100,38.24,38.38
tinyimagenet200,resnet18,0.4,0.9,100,37.83,38.09
tinyimagenet200,resnet18,0.4,1,100,37.82,38.23
tinyimagenet200,resnet18,0.5,0.4,100,36.64,36.85
tinyimagenet200,resnet18,0.5,0.5,100,36.26,36.46
tinyimagenet200,resnet18,0.5,0.6,100,36.05,36.25
tinyimagenet200,resnet18,0.5,0.7,100,35.22,35.43
tinyimagenet200,resnet18,0.5,0.9,100,34.82,35.1
tinyimagenet200,resnet18,0.5,1,100,34.5,34.66
tinyimagenet200,resnet18,0.6,0.4,100,11.24,11.42
tinyimagenet200,resnet18,0.6,0.5,100,11.29,11.54
tinyimagenet200,resnet18,0.6,0.6,100,10.5,10.53
tinyimagenet200,resnet18,0.6,0.7,100,10.35,10.55
tinyimagenet200,resnet18,0.6,0.9,100,10.13,10.26
tinyimagenet200,resnet18,0.6,1,100,10.32,10.52
tinyimagenet200,resnet18,0.7,0.4,100,11.74,12.02
tinyimagenet200,resnet18,0.7,0.5,100,11.83,11.88
tinyimagenet200,resnet18,0.7,0.6,100,11.93,12.19
tinyimagenet200,resnet18,0.7,0.7,100,11.2,11.38
tinyimagenet200,resnet18,0.7,0.9,100,12.55,12.84
tinyimagenet200,resnet18,0.7,1,100,13.44,13.59
tinyimagenet200,resnet18,0.9,0.4,100,11.11,11.39
tinyimagenet200,resnet18,0.9,0.5,100,11.85,12.03
tinyimagenet200,resnet18,0.9,0.6,100,12.27,12.47
tinyimagenet200,resnet18,0.9,0.7,100,12.64,12.73
tinyimagenet200,resnet18,0.9,0.9,100,16.32,16.32
tinyimagenet200,resnet18,0.9,1,100,19.19,19.19
tinyimagenet200,resnet18,1,0.4,100,10.07,10.38
tinyimagenet200,resnet18,1,0.5,100,10.91,10.97
tinyimagenet200,resnet18,1,0.6,100,10.43,10.68
tinyimagenet200,resnet18,1,0.7,100,10.8,10.87
tinyimagenet200,resnet18,1,0.9,100,11.46,11.6
tinyimagenet200,resnet18,1,1,100,14.32,14.37
