dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
cifar100,vgg16_bn,0,-1,100,57.6,58.09
cifar100,vgg16_bn,0.1,-1,100,33.29,33.36
cifar100,vgg16_bn,0.2,-1,100,24.05,24.18
cifar100,vgg16_bn,0.3,-1,100,23.59,24.58
cifar100,vgg16_bn,0.4,-1,100,20.4,20.5
cifar100,vgg16_bn,0.5,-1,100,11.77,11.98
cifar100,vgg16_bn,0.6,-1,100,13.17,13.47
cifar100,vgg16_bn,0.7,-1,100,13.33,13.75
cifar100,vgg16_bn,0.8,-1,100,13.86,14.31
cifar100,vgg16_bn,0.9,-1,100,14.6,14.66
cifar100,vgg16_bn,1,-1,100,13.61,13.82
cifar100,mobilenetv2,0,-1,100,44.54,44.78
cifar100,mobilenetv2,0.1,-1,100,42.16,42.2
cifar100,mobilenetv2,0.2,-1,100,39.18,39.39
cifar100,mobilenetv2,0.3,-1,100,36.84,37.25
cifar100,mobilenetv2,0.4,-1,100,19.25,19.64
cifar100,mobilenetv2,0.5,-1,100,9.53,10.15
cifar100,mobilenetv2,0.6,-1,100,10.76,11.24
cifar100,mobilenetv2,0.7,-1,100,16.27,16.4
cifar100,mobilenetv2,0.8,-1,100,15.95,16.09
cifar100,mobilenetv2,0.9,-1,100,15.16,15.44
cifar100,mobilenetv2,1,-1,100,21.49,21.65
cifar10,resnet18,0,-1,100,81.4,81.5
cifar10,resnet18,0.1,-1,100,62.35,62.48
cifar10,resnet18,0.2,-1,100,56.13,56.3
cifar10,resnet18,0.3,-1,100,55.8,56.03
cifar10,resnet18,0.4,-1,100,58.38,58.64
cifar10,resnet18,0.5,-1,100,62.17,62.37
cifar10,resnet18,0.6,-1,100,63.99,64.52
cifar10,resnet18,0.7,-1,100,65.23,65.37
cifar10,resnet18,0.8,-1,100,65.02,65.21
cifar10,resnet18,0.9,-1,100,64.0,64.46
cifar10,resnet18,1,-1,100,43.55,43.72
cifar10,vgg16_bn,0,-1,100,86.93,87.09
cifar10,vgg16_bn,0.1,-1,100,74.76,75.55
cifar10,vgg16_bn,0.2,-1,100,66.92,67.01
cifar10,vgg16_bn,0.3,-1,100,56.39,56.39
cifar10,vgg16_bn,0.4,-1,100,51.36,51.49
cifar10,vgg16_bn,0.5,-1,100,50.02,50.47
cifar10,vgg16_bn,0.6,-1,100,52.07,52.25
cifar10,vgg16_bn,0.7,-1,100,53.7,53.7
cifar10,vgg16_bn,0.8,-1,100,53.37,53.4
cifar10,vgg16_bn,0.9,-1,100,49.78,50.15
cifar10,vgg16_bn,1,-1,100,49.54,49.93
cifar10,mobilenetv2,0,-1,100,79.18,79.37
cifar10,mobilenetv2,0.1,-1,100,78.41,78.48
cifar10,mobilenetv2,0.2,-1,100,71.61,71.9
cifar10,mobilenetv2,0.3,-1,100,47.75,48.26
cifar10,mobilenetv2,0.4,-1,100,47.34,47.7
cifar10,mobilenetv2,0.5,-1,100,24.66,25.12
cifar10,mobilenetv2,0.6,-1,100,19.37,19.65
cifar10,mobilenetv2,0.7,-1,100,23.06,23.06
cifar10,mobilenetv2,0.8,-1,100,18.77,19.2
cifar10,mobilenetv2,0.9,-1,100,19.4,21.16
cifar10,mobilenetv2,1,-1,100,17.38,18.6
tinyimagenet200,resnet18,0,-1,100,41.99,42.61
tinyimagenet200,resnet18,0.1,-1,100,28.33,28.77
tinyimagenet200,resnet18,0.2,-1,100,21.9,22.29
tinyimagenet200,resnet18,0.3,-1,100,17.38,17.81
tinyimagenet200,resnet18,0.4,-1,100,19.29,19.58
tinyimagenet200,resnet18,0.5,-1,100,19.43,19.76
tinyimagenet200,resnet18,0.6,-1,100,20.71,20.9
tinyimagenet200,resnet18,0.7,-1,100,22.2,22.2
tinyimagenet200,resnet18,0.8,-1,100,21.93,21.93
tinyimagenet200,resnet18,0.9,-1,100,21.83,21.83
tinyimagenet200,resnet18,1,-1,100,22.86,22.98
tinyimagenet200,vgg16_bn,0,-1,100,23.33,23.77
tinyimagenet200,vgg16_bn,0.1,-1,100,21.14,21.86
tinyimagenet200,vgg16_bn,0.2,-1,100,12.87,12.94
tinyimagenet200,vgg16_bn,0.3,-1,100,9.45,9.94
tinyimagenet200,vgg16_bn,0.4,-1,100,7.68,7.94
tinyimagenet200,vgg16_bn,0.5,-1,100,6.06,6.86
tinyimagenet200,vgg16_bn,0.6,-1,100,7.99,8.55
tinyimagenet200,vgg16_bn,0.7,-1,100,7.64,8.21
tinyimagenet200,vgg16_bn,0.8,-1,100,7.92,8.18
tinyimagenet200,vgg16_bn,0.9,-1,100,7.99,8.27
tinyimagenet200,vgg16_bn,1,-1,100,7.05,7.78
tinyimagenet200,mobilenetv2,0,-1,100,43.12,44.01
tinyimagenet200,mobilenetv2,0.1,-1,100,33.61,33.89
tinyimagenet200,mobilenetv2,0.2,-1,100,25.2,25.36
tinyimagenet200,mobilenetv2,0.3,-1,100,26.32,26.61
tinyimagenet200,mobilenetv2,0.4,-1,100,25.87,26.32
tinyimagenet200,mobilenetv2,0.5,-1,100,24.42,24.64
tinyimagenet200,mobilenetv2,0.6,-1,100,23.45,23.75
tinyimagenet200,mobilenetv2,0.7,-1,100,23.25,23.5
tinyimagenet200,mobilenetv2,0.8,-1,100,23.08,23.21
tinyimagenet200,mobilenetv2,0.9,-1,100,22.59,22.73
tinyimagenet200,mobilenetv2,1,-1,100,24.56,24.56
