dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
tinyimagenet200,resnet18,0,0,100,43.37,44.26
tinyimagenet200,resnet18,0,0.1,100,43.37,44.23
tinyimagenet200,resnet18,0,0.2,100,43.38,44.24
tinyimagenet200,resnet18,0,0.3,100,43.38,44.23
tinyimagenet200,resnet18,0,0.4,100,43.36,44.25
tinyimagenet200,resnet18,0,0.5,100,43.39,44.25
tinyimagenet200,resnet18,0,0.6,100,43.38,44.26
tinyimagenet200,resnet18,0,0.7,100,43.42,44.23
tinyimagenet200,resnet18,0,0.8,100,43.37,44.23
tinyimagenet200,resnet18,0,0.9,100,43.36,44.26
tinyimagenet200,resnet18,0,1,100,43.38,44.23
tinyimagenet200,resnet18,0.1,0,100,41.76,42.08
tinyimagenet200,resnet18,0.1,0.1,100,41.76,42.08
tinyimagenet200,resnet18,0.1,0.2,100,41.77,42.13
tinyimagenet200,resnet18,0.1,0.3,100,41.79,42.09
tinyimagenet200,resnet18,0.1,0.4,100,41.8,42.11
tinyimagenet200,resnet18,0.1,0.5,100,41.75,42.11
tinyimagenet200,resnet18,0.1,0.6,100,41.73,42.11
tinyimagenet200,resnet18,0.1,0.7,100,41.77,42.14
tinyimagenet200,resnet18,0.1,0.8,100,41.77,42.14
tinyimagenet200,resnet18,0.1,0.9,100,41.77,42.12
tinyimagenet200,resnet18,0.1,1,100,41.73,42.13
tinyimagenet200,resnet18,0.2,0,100,40.36,40.43
tinyimagenet200,resnet18,0.2,0.1,100,40.38,40.45
tinyimagenet200,resnet18,0.2,0.2,100,40.3,40.49
tinyimagenet200,resnet18,0.2,0.3,100,40.37,40.44
tinyimagenet200,resnet18,0.2,0.4,100,40.3,40.42
tinyimagenet200,resnet18,0.2,0.5,100,40.41,40.44
tinyimagenet200,resnet18,0.2,0.6,100,40.31,40.46
tinyimagenet200,resnet18,0.2,0.7,100,40.29,40.4
tinyimagenet200,resnet18,0.2,0.8,100,40.31,40.45
tinyimagenet200,resnet18,0.2,0.9,100,40.35,40.45
tinyimagenet200,resnet18,0.2,1,100,40.32,40.46
tinyimagenet200,resnet18,0.3,0,100,39.91,40.2
tinyimagenet200,resnet18,0.3,0.1,100,39.95,40.16
tinyimagenet200,resnet18,0.3,0.2,100,40.06,40.22
tinyimagenet200,resnet18,0.3,0.3,100,40.01,40.31
tinyimagenet200,resnet18,0.3,0.4,100,39.92,40.21
tinyimagenet200,resnet18,0.3,0.5,100,39.85,40.15
tinyimagenet200,resnet18,0.3,0.6,100,39.91,40.24
tinyimagenet200,resnet18,0.3,0.7,100,40.01,40.18
tinyimagenet200,resnet18,0.3,0.8,100,39.92,40.25
tinyimagenet200,resnet18,0.3,0.9,100,39.99,40.26
tinyimagenet200,resnet18,0.3,1,100,39.94,40.19
tinyimagenet200,resnet18,0.4,0,100,39.54,39.79
tinyimagenet200,resnet18,0.4,0.1,100,39.54,39.7
tinyimagenet200,resnet18,0.4,0.2,100,39.53,39.81
tinyimagenet200,resnet18,0.4,0.3,100,39.39,39.64
tinyimagenet200,resnet18,0.4,0.4,100,38.66,39.02
tinyimagenet200,resnet18,0.4,0.5,100,38.4,38.68
tinyimagenet200,resnet18,0.4,0.6,100,38.35,38.75
tinyimagenet200,resnet18,0.4,0.7,100,38.01,38.34
tinyimagenet200,resnet18,0.4,0.8,100,37.95,38.03
tinyimagenet200,resnet18,0.4,0.9,100,37.81,37.97
tinyimagenet200,resnet18,0.4,1,100,37.6,38.14
tinyimagenet200,resnet18,0.5,0,100,38.43,38.97
tinyimagenet200,resnet18,0.5,0.1,100,38.13,38.35
tinyimagenet200,resnet18,0.5,0.2,100,37.92,38.2
tinyimagenet200,resnet18,0.5,0.3,100,37.22,37.43
tinyimagenet200,resnet18,0.5,0.4,100,36.62,36.84
tinyimagenet200,resnet18,0.5,0.5,100,36.15,36.29
tinyimagenet200,resnet18,0.5,0.6,100,35.94,36.18
tinyimagenet200,resnet18,0.5,0.7,100,35.16,35.65
tinyimagenet200,resnet18,0.5,0.8,100,34.9,35.17
tinyimagenet200,resnet18,0.5,0.9,100,34.85,35.29
tinyimagenet200,resnet18,0.5,1,100,34.38,34.51
tinyimagenet200,resnet18,0.6,0,100,14.9,15.27
tinyimagenet200,resnet18,0.6,0.1,100,14.48,14.65
tinyimagenet200,resnet18,0.6,0.2,100,13.41,13.64
tinyimagenet200,resnet18,0.6,0.3,100,12.21,12.55
tinyimagenet200,resnet18,0.6,0.4,100,11.35,11.35
tinyimagenet200,resnet18,0.6,0.5,100,10.86,11.14
tinyimagenet200,resnet18,0.6,0.6,100,10.51,10.51
tinyimagenet200,resnet18,0.6,0.7,100,10.15,10.33
tinyimagenet200,resnet18,0.6,0.8,100,9.68,9.71
tinyimagenet200,resnet18,0.6,0.9,100,10.39,10.5
tinyimagenet200,resnet18,0.6,1,100,10.31,10.49
tinyimagenet200,resnet18,0.7,0,100,14.9,15.02
tinyimagenet200,resnet18,0.7,0.1,100,13.08,13.29
tinyimagenet200,resnet18,0.7,0.2,100,11.32,11.55
tinyimagenet200,resnet18,0.7,0.3,100,12.01,12.23
tinyimagenet200,resnet18,0.7,0.4,100,11.59,11.87
tinyimagenet200,resnet18,0.7,0.5,100,11.42,11.63
tinyimagenet200,resnet18,0.7,0.6,100,11.95,12.09
tinyimagenet200,resnet18,0.7,0.7,100,11.6,11.85
tinyimagenet200,resnet18,0.7,0.8,100,11.74,11.83
tinyimagenet200,resnet18,0.7,0.9,100,12.75,12.79
tinyimagenet200,resnet18,0.7,1,100,13.19,13.26
tinyimagenet200,resnet18,0.8,0,100,18.57,18.76
tinyimagenet200,resnet18,0.8,0.1,100,14.96,15.0
tinyimagenet200,resnet18,0.8,0.2,100,12.59,12.8
tinyimagenet200,resnet18,0.8,0.3,100,13.03,13.1
tinyimagenet200,resnet18,0.8,0.4,100,12.09,12.31
tinyimagenet200,resnet18,0.8,0.5,100,11.7,11.75
tinyimagenet200,resnet18,0.8,0.6,100,12.26,12.38
tinyimagenet200,resnet18,0.8,0.7,100,12.44,12.66
tinyimagenet200,resnet18,0.8,0.8,100,12.63,12.63
tinyimagenet200,resnet18,0.8,0.9,100,13.9,14.22
tinyimagenet200,resnet18,0.8,1,100,15.19,15.45
tinyimagenet200,resnet18,0.9,0,100,18.75,18.78
tinyimagenet200,resnet18,0.9,0.1,100,14.91,14.97
tinyimagenet200,resnet18,0.9,0.2,100,13.03,13.05
tinyimagenet200,resnet18,0.9,0.3,100,11.79,12.06
tinyimagenet200,resnet18,0.9,0.4,100,11.27,11.47
tinyimagenet200,resnet18,0.9,0.5,100,11.98,12.06
tinyimagenet200,resnet18,0.9,0.6,100,12.07,12.34
tinyimagenet200,resnet18,0.9,0.7,100,12.81,13.08
tinyimagenet200,resnet18,0.9,0.8,100,13.11,13.18
tinyimagenet200,resnet18,0.9,0.9,100,16.19,16.34
tinyimagenet200,resnet18,0.9,1,100,19.04,19.19
tinyimagenet200,resnet18,1,0,100,19.22,19.29
tinyimagenet200,resnet18,1,0.1,100,14.24,14.43
tinyimagenet200,resnet18,1,0.2,100,12.58,12.58
tinyimagenet200,resnet18,1,0.3,100,11.31,11.52
tinyimagenet200,resnet18,1,0.4,100,9.78,10.24
tinyimagenet200,resnet18,1,0.5,100,10.66,10.77
tinyimagenet200,resnet18,1,0.6,100,10.93,11.05
tinyimagenet200,resnet18,1,0.7,100,10.93,11.06
tinyimagenet200,resnet18,1,0.8,100,10.21,10.32
tinyimagenet200,resnet18,1,0.9,100,11.38,11.51
tinyimagenet200,resnet18,1,1,100,14.28,14.33
tinyimagenet200,alexnet,0,0,100,21.25,24.22
tinyimagenet200,alexnet,0,0.1,100,21.27,24.22
tinyimagenet200,alexnet,0,0.2,100,21.27,24.22
tinyimagenet200,alexnet,0,0.3,100,21.24,24.22
tinyimagenet200,alexnet,0,0.4,100,21.28,24.22
tinyimagenet200,alexnet,0,0.5,100,21.3,24.22
tinyimagenet200,alexnet,0,0.6,100,21.3,24.22
tinyimagenet200,alexnet,0,0.7,100,21.28,24.22
tinyimagenet200,alexnet,0,0.8,100,21.31,24.22
tinyimagenet200,alexnet,0,0.9,100,21.29,24.22
tinyimagenet200,alexnet,0,1,100,21.25,24.22
tinyimagenet200,alexnet,0.1,0,100,21.29,24.22
tinyimagenet200,alexnet,0.1,0.1,100,21.25,24.22
tinyimagenet200,alexnet,0.1,0.2,100,21.27,24.22
tinyimagenet200,alexnet,0.1,0.3,100,21.26,24.22
tinyimagenet200,alexnet,0.1,0.4,100,21.25,24.22
tinyimagenet200,alexnet,0.1,0.5,100,21.3,24.22
tinyimagenet200,alexnet,0.1,0.6,100,21.25,24.22
tinyimagenet200,alexnet,0.1,0.7,100,21.26,24.22
tinyimagenet200,alexnet,0.1,0.8,100,21.28,24.22
tinyimagenet200,alexnet,0.1,0.9,100,21.26,24.22
tinyimagenet200,alexnet,0.1,1,100,21.26,24.22
tinyimagenet200,alexnet,0.2,0,100,21.29,24.22
tinyimagenet200,alexnet,0.2,0.1,100,20.42,21.45
tinyimagenet200,alexnet,0.2,0.2,100,19.61,20.73
tinyimagenet200,alexnet,0.2,0.3,100,17.96,18.95
tinyimagenet200,alexnet,0.2,0.4,100,17.45,17.92
tinyimagenet200,alexnet,0.2,0.5,100,16.7,16.9
tinyimagenet200,alexnet,0.2,0.6,100,16.24,16.67
tinyimagenet200,alexnet,0.2,0.7,100,15.82,16.46
tinyimagenet200,alexnet,0.2,0.8,100,15.37,16.19
tinyimagenet200,alexnet,0.2,0.9,100,15.25,16.02
tinyimagenet200,alexnet,0.2,1,100,15.25,15.9
tinyimagenet200,alexnet,0.3,0,100,21.31,24.22
tinyimagenet200,alexnet,0.3,0.1,100,20.49,21.38
tinyimagenet200,alexnet,0.3,0.2,100,19.55,20.72
tinyimagenet200,alexnet,0.3,0.3,100,18.01,18.96
tinyimagenet200,alexnet,0.3,0.4,100,17.45,17.96
tinyimagenet200,alexnet,0.3,0.5,100,16.64,16.96
tinyimagenet200,alexnet,0.3,0.6,100,16.12,16.59
tinyimagenet200,alexnet,0.3,0.7,100,15.86,16.42
tinyimagenet200,alexnet,0.3,0.8,100,15.47,16.13
tinyimagenet200,alexnet,0.3,0.9,100,15.18,16.01
tinyimagenet200,alexnet,0.3,1,100,15.17,15.85
tinyimagenet200,alexnet,0.4,0,100,15.07,15.52
tinyimagenet200,alexnet,0.4,0.1,100,12.39,12.92
tinyimagenet200,alexnet,0.4,0.2,100,11.42,11.88
tinyimagenet200,alexnet,0.4,0.3,100,9.33,9.61
tinyimagenet200,alexnet,0.4,0.4,100,8.53,9.0
tinyimagenet200,alexnet,0.4,0.5,100,7.77,8.01
tinyimagenet200,alexnet,0.4,0.6,100,6.74,7.08
tinyimagenet200,alexnet,0.4,0.7,100,6.13,6.44
tinyimagenet200,alexnet,0.4,0.8,100,5.49,5.91
tinyimagenet200,alexnet,0.4,0.9,100,4.43,4.85
tinyimagenet200,alexnet,0.4,1,100,4.27,4.67
tinyimagenet200,alexnet,0.5,0,100,15.06,15.54
tinyimagenet200,alexnet,0.5,0.1,100,11.49,11.7
tinyimagenet200,alexnet,0.5,0.2,100,10.26,10.49
tinyimagenet200,alexnet,0.5,0.3,100,8.06,8.4
tinyimagenet200,alexnet,0.5,0.4,100,7.13,7.58
tinyimagenet200,alexnet,0.5,0.5,100,6.28,6.66
tinyimagenet200,alexnet,0.5,0.6,100,5.39,5.9
tinyimagenet200,alexnet,0.5,0.7,100,4.8,4.98
tinyimagenet200,alexnet,0.5,0.8,100,4.02,4.19
tinyimagenet200,alexnet,0.5,0.9,100,3.32,3.61
tinyimagenet200,alexnet,0.5,1,100,3.02,3.26
tinyimagenet200,alexnet,0.6,0,100,15.09,15.55
tinyimagenet200,alexnet,0.6,0.1,100,11.51,11.75
tinyimagenet200,alexnet,0.6,0.2,100,10.25,10.44
tinyimagenet200,alexnet,0.6,0.3,100,8.1,8.43
tinyimagenet200,alexnet,0.6,0.4,100,7.07,7.59
tinyimagenet200,alexnet,0.6,0.5,100,6.24,6.68
tinyimagenet200,alexnet,0.6,0.6,100,5.38,5.89
tinyimagenet200,alexnet,0.6,0.7,100,4.89,4.99
tinyimagenet200,alexnet,0.6,0.8,100,4.02,4.19
tinyimagenet200,alexnet,0.6,0.9,100,3.33,3.59
tinyimagenet200,alexnet,0.6,1,100,3.03,3.26
tinyimagenet200,alexnet,0.7,0,100,15.06,15.5
tinyimagenet200,alexnet,0.7,0.1,100,10.92,11.54
tinyimagenet200,alexnet,0.7,0.2,100,9.4,9.76
tinyimagenet200,alexnet,0.7,0.3,100,7.83,7.9
tinyimagenet200,alexnet,0.7,0.4,100,6.75,6.89
tinyimagenet200,alexnet,0.7,0.5,100,5.67,5.88
tinyimagenet200,alexnet,0.7,0.6,100,4.66,4.85
tinyimagenet200,alexnet,0.7,0.7,100,3.91,4.07
tinyimagenet200,alexnet,0.7,0.8,100,2.93,3.21
tinyimagenet200,alexnet,0.7,0.9,100,2.33,2.47
tinyimagenet200,alexnet,0.7,1,100,1.72,1.82
tinyimagenet200,alexnet,0.8,0,100,15.05,15.55
tinyimagenet200,alexnet,0.8,0.1,100,10.94,11.51
tinyimagenet200,alexnet,0.8,0.2,100,9.45,9.83
tinyimagenet200,alexnet,0.8,0.3,100,7.75,7.91
tinyimagenet200,alexnet,0.8,0.4,100,6.72,6.86
tinyimagenet200,alexnet,0.8,0.5,100,5.69,5.87
tinyimagenet200,alexnet,0.8,0.6,100,4.6,4.86
tinyimagenet200,alexnet,0.8,0.7,100,3.9,4.05
tinyimagenet200,alexnet,0.8,0.8,100,2.93,3.22
tinyimagenet200,alexnet,0.8,0.9,100,2.33,2.47
tinyimagenet200,alexnet,0.8,1,100,1.71,1.83
tinyimagenet200,alexnet,0.9,0,100,15.05,15.54
tinyimagenet200,alexnet,0.9,0.1,100,10.65,11.43
tinyimagenet200,alexnet,0.9,0.2,100,9.35,9.76
tinyimagenet200,alexnet,0.9,0.3,100,7.61,7.82
tinyimagenet200,alexnet,0.9,0.4,100,6.55,6.92
tinyimagenet200,alexnet,0.9,0.5,100,4.97,5.42
tinyimagenet200,alexnet,0.9,0.6,100,3.49,3.69
tinyimagenet200,alexnet,0.9,0.7,100,1.89,2.02
tinyimagenet200,alexnet,0.9,0.8,100,1.13,1.31
tinyimagenet200,alexnet,0.9,0.9,100,1.04,1.21
tinyimagenet200,alexnet,0.9,1,100,0.53,0.66
tinyimagenet200,alexnet,1,0,100,15.05,15.55
tinyimagenet200,alexnet,1,0.1,100,10.8,11.21
tinyimagenet200,alexnet,1,0.2,100,9.24,9.56
tinyimagenet200,alexnet,1,0.3,100,7.31,7.54
tinyimagenet200,alexnet,1,0.4,100,6.07,6.22
tinyimagenet200,alexnet,1,0.5,100,4.32,4.44
tinyimagenet200,alexnet,1,0.6,100,1.99,2.18
tinyimagenet200,alexnet,1,0.7,100,1.07,1.2
tinyimagenet200,alexnet,1,0.8,100,0.66,0.77
tinyimagenet200,alexnet,1,0.9,100,0.5,0.74
tinyimagenet200,alexnet,1,1,100,0.5,0.62
tinyimagenet200,vgg16_bn,0,0,100,31.88,38.26
tinyimagenet200,vgg16_bn,0,0.1,100,31.84,38.28
tinyimagenet200,vgg16_bn,0,0.2,100,31.9,38.24
tinyimagenet200,vgg16_bn,0,0.3,100,31.92,38.19
tinyimagenet200,vgg16_bn,0,0.4,100,31.9,38.22
tinyimagenet200,vgg16_bn,0,0.5,100,31.85,38.16
tinyimagenet200,vgg16_bn,0,0.6,100,32.01,38.27
tinyimagenet200,vgg16_bn,0,0.7,100,31.79,38.22
tinyimagenet200,vgg16_bn,0,0.8,100,31.86,38.24
tinyimagenet200,vgg16_bn,0,0.9,100,31.93,38.36
tinyimagenet200,vgg16_bn,0,1,100,31.77,38.17
tinyimagenet200,vgg16_bn,0.1,0,100,31.22,36.04
tinyimagenet200,vgg16_bn,0.1,0.1,100,31.04,35.22
tinyimagenet200,vgg16_bn,0.1,0.2,100,30.99,35.01
tinyimagenet200,vgg16_bn,0.1,0.3,100,30.94,34.2
tinyimagenet200,vgg16_bn,0.1,0.4,100,30.72,33.61
tinyimagenet200,vgg16_bn,0.1,0.5,100,30.73,33.03
tinyimagenet200,vgg16_bn,0.1,0.6,100,30.14,32.78
tinyimagenet200,vgg16_bn,0.1,0.7,100,29.89,32.3
tinyimagenet200,vgg16_bn,0.1,0.8,100,29.91,31.93
tinyimagenet200,vgg16_bn,0.1,0.9,100,29.32,31.59
tinyimagenet200,vgg16_bn,0.1,1,100,29.04,30.8
tinyimagenet200,vgg16_bn,0.2,0,100,31.03,34.6
tinyimagenet200,vgg16_bn,0.2,0.1,100,30.35,33.36
tinyimagenet200,vgg16_bn,0.2,0.2,100,30.07,31.93
tinyimagenet200,vgg16_bn,0.2,0.3,100,29.07,30.53
tinyimagenet200,vgg16_bn,0.2,0.4,100,27.81,29.31
tinyimagenet200,vgg16_bn,0.2,0.5,100,26.69,28.24
tinyimagenet200,vgg16_bn,0.2,0.6,100,26.03,26.94
tinyimagenet200,vgg16_bn,0.2,0.7,100,24.74,25.58
tinyimagenet200,vgg16_bn,0.2,0.8,100,23.68,24.52
tinyimagenet200,vgg16_bn,0.2,0.9,100,20.47,21.0
tinyimagenet200,vgg16_bn,0.2,1,100,19.97,20.48
tinyimagenet200,vgg16_bn,0.3,0,100,30.42,33.87
tinyimagenet200,vgg16_bn,0.3,0.1,100,29.18,31.82
tinyimagenet200,vgg16_bn,0.3,0.2,100,28.35,29.43
tinyimagenet200,vgg16_bn,0.3,0.3,100,26.97,27.77
tinyimagenet200,vgg16_bn,0.3,0.4,100,25.03,26.09
tinyimagenet200,vgg16_bn,0.3,0.5,100,22.89,23.58
tinyimagenet200,vgg16_bn,0.3,0.6,100,20.58,21.36
tinyimagenet200,vgg16_bn,0.3,0.7,100,19.16,19.56
tinyimagenet200,vgg16_bn,0.3,0.8,100,16.79,17.64
tinyimagenet200,vgg16_bn,0.3,0.9,100,15.53,15.99
tinyimagenet200,vgg16_bn,0.3,1,100,15.25,15.89
tinyimagenet200,vgg16_bn,0.4,0,100,30.33,33.32
tinyimagenet200,vgg16_bn,0.4,0.1,100,28.61,30.78
tinyimagenet200,vgg16_bn,0.4,0.2,100,27.14,28.35
tinyimagenet200,vgg16_bn,0.4,0.3,100,25.21,26.31
tinyimagenet200,vgg16_bn,0.4,0.4,100,22.64,23.66
tinyimagenet200,vgg16_bn,0.4,0.5,100,19.97,20.51
tinyimagenet200,vgg16_bn,0.4,0.6,100,16.79,17.43
tinyimagenet200,vgg16_bn,0.4,0.7,100,14.74,15.18
tinyimagenet200,vgg16_bn,0.4,0.8,100,12.48,13.22
tinyimagenet200,vgg16_bn,0.4,0.9,100,11.98,12.01
tinyimagenet200,vgg16_bn,0.4,1,100,11.29,11.58
tinyimagenet200,vgg16_bn,0.5,0,100,30.17,32.7
tinyimagenet200,vgg16_bn,0.5,0.1,100,27.26,28.58
tinyimagenet200,vgg16_bn,0.5,0.2,100,24.71,26.03
tinyimagenet200,vgg16_bn,0.5,0.3,100,22.17,22.98
tinyimagenet200,vgg16_bn,0.5,0.4,100,18.34,19.21
tinyimagenet200,vgg16_bn,0.5,0.5,100,14.06,14.51
tinyimagenet200,vgg16_bn,0.5,0.6,100,11.66,12.12
tinyimagenet200,vgg16_bn,0.5,0.7,100,10.87,11.28
tinyimagenet200,vgg16_bn,0.5,0.8,100,9.83,10.15
tinyimagenet200,vgg16_bn,0.5,0.9,100,9.55,9.98
tinyimagenet200,vgg16_bn,0.5,1,100,9.22,9.45
tinyimagenet200,vgg16_bn,0.6,0,100,29.32,31.75
tinyimagenet200,vgg16_bn,0.6,0.1,100,26.46,27.48
tinyimagenet200,vgg16_bn,0.6,0.2,100,23.16,24.49
tinyimagenet200,vgg16_bn,0.6,0.3,100,20.56,21.49
tinyimagenet200,vgg16_bn,0.6,0.4,100,16.65,17.61
tinyimagenet200,vgg16_bn,0.6,0.5,100,12.88,13.31
tinyimagenet200,vgg16_bn,0.6,0.6,100,10.95,11.15
tinyimagenet200,vgg16_bn,0.6,0.7,100,9.53,10.07
tinyimagenet200,vgg16_bn,0.6,0.8,100,9.07,9.31
tinyimagenet200,vgg16_bn,0.6,0.9,100,8.63,8.75
tinyimagenet200,vgg16_bn,0.6,1,100,7.87,8.33
tinyimagenet200,vgg16_bn,0.7,0,100,29.38,31.64
tinyimagenet200,vgg16_bn,0.7,0.1,100,26.1,27.44
tinyimagenet200,vgg16_bn,0.7,0.2,100,23.14,24.11
tinyimagenet200,vgg16_bn,0.7,0.3,100,19.64,20.52
tinyimagenet200,vgg16_bn,0.7,0.4,100,16.24,16.82
tinyimagenet200,vgg16_bn,0.7,0.5,100,12.35,12.53
tinyimagenet200,vgg16_bn,0.7,0.6,100,10.25,10.66
tinyimagenet200,vgg16_bn,0.7,0.7,100,9.07,9.26
tinyimagenet200,vgg16_bn,0.7,0.8,100,8.72,9.04
tinyimagenet200,vgg16_bn,0.7,0.9,100,7.97,8.51
tinyimagenet200,vgg16_bn,0.7,1,100,7.87,8.04
tinyimagenet200,vgg16_bn,0.8,0,100,29.4,31.51
tinyimagenet200,vgg16_bn,0.8,0.1,100,25.68,26.83
tinyimagenet200,vgg16_bn,0.8,0.2,100,22.06,23.31
tinyimagenet200,vgg16_bn,0.8,0.3,100,18.24,19.49
tinyimagenet200,vgg16_bn,0.8,0.4,100,13.61,14.62
tinyimagenet200,vgg16_bn,0.8,0.5,100,10.42,10.83
tinyimagenet200,vgg16_bn,0.8,0.6,100,8.59,8.85
tinyimagenet200,vgg16_bn,0.8,0.7,100,7.9,8.51
tinyimagenet200,vgg16_bn,0.8,0.8,100,7.26,7.9
tinyimagenet200,vgg16_bn,0.8,0.9,100,7.48,7.48
tinyimagenet200,vgg16_bn,0.8,1,100,6.96,7.09
tinyimagenet200,vgg16_bn,0.9,0,100,29.34,31.73
tinyimagenet200,vgg16_bn,0.9,0.1,100,25.84,26.94
tinyimagenet200,vgg16_bn,0.9,0.2,100,22.22,23.21
tinyimagenet200,vgg16_bn,0.9,0.3,100,18.2,19.02
tinyimagenet200,vgg16_bn,0.9,0.4,100,13.73,14.28
tinyimagenet200,vgg16_bn,0.9,0.5,100,10.15,10.29
tinyimagenet200,vgg16_bn,0.9,0.6,100,8.38,8.78
tinyimagenet200,vgg16_bn,0.9,0.7,100,7.39,7.96
tinyimagenet200,vgg16_bn,0.9,0.8,100,7.27,7.79
tinyimagenet200,vgg16_bn,0.9,0.9,100,6.78,7.12
tinyimagenet200,vgg16_bn,0.9,1,100,6.34,6.78
tinyimagenet200,vgg16_bn,1,0,100,26.03,26.61
tinyimagenet200,vgg16_bn,1,0.1,100,22.16,22.84
tinyimagenet200,vgg16_bn,1,0.2,100,17.24,17.65
tinyimagenet200,vgg16_bn,1,0.3,100,11.53,12.02
tinyimagenet200,vgg16_bn,1,0.4,100,9.0,9.35
tinyimagenet200,vgg16_bn,1,0.5,100,7.95,7.99
tinyimagenet200,vgg16_bn,1,0.6,100,6.86,7.53
tinyimagenet200,vgg16_bn,1,0.7,100,6.69,6.99
tinyimagenet200,vgg16_bn,1,0.8,100,6.59,6.67
tinyimagenet200,vgg16_bn,1,0.9,100,5.56,6.0
tinyimagenet200,vgg16_bn,1,1,100,5.34,5.34
cifar10,resnet18,0,0,100,86.24,86.24
cifar10,resnet18,0,0.1,100,86.13,86.29
cifar10,resnet18,0,0.2,100,86.14,86.26
cifar10,resnet18,0,0.3,100,86.17,86.28
cifar10,resnet18,0,0.4,100,86.12,86.29
cifar10,resnet18,0,0.5,100,86.19,86.27
cifar10,resnet18,0,0.6,100,86.12,86.28
cifar10,resnet18,0,0.7,100,86.09,86.29
cifar10,resnet18,0,0.8,100,86.12,86.24
cifar10,resnet18,0,0.9,100,86.13,86.26
cifar10,resnet18,0,1,100,86.15,86.24
cifar10,resnet18,0.1,0,100,81.01,81.14
cifar10,resnet18,0.1,0.1,100,81.18,81.18
cifar10,resnet18,0.1,0.2,100,80.98,81.05
cifar10,resnet18,0.1,0.3,100,81.05,81.14
cifar10,resnet18,0.1,0.4,100,81.27,81.27
cifar10,resnet18,0.1,0.5,100,81.28,81.28
cifar10,resnet18,0.1,0.6,100,81.06,81.07
cifar10,resnet18,0.1,0.7,100,81.02,81.03
cifar10,resnet18,0.1,0.8,100,81.17,81.29
cifar10,resnet18,0.1,0.9,100,80.88,80.97
cifar10,resnet18,0.1,1,100,81.12,81.12
cifar10,resnet18,0.2,0,100,78.09,78.11
cifar10,resnet18,0.2,0.1,100,78.32,78.36
cifar10,resnet18,0.2,0.2,100,78.04,78.22
cifar10,resnet18,0.2,0.3,100,78.2,78.51
cifar10,resnet18,0.2,0.4,100,78.16,78.28
cifar10,resnet18,0.2,0.5,100,78.17,78.19
cifar10,resnet18,0.2,0.6,100,78.1,78.15
cifar10,resnet18,0.2,0.7,100,77.96,78.03
cifar10,resnet18,0.2,0.8,100,78.39,78.48
cifar10,resnet18,0.2,0.9,100,78.08,78.26
cifar10,resnet18,0.2,1,100,78.12,78.39
cifar10,resnet18,0.3,0,100,76.42,76.56
cifar10,resnet18,0.3,0.1,100,77.0,77.13
cifar10,resnet18,0.3,0.2,100,76.98,76.99
cifar10,resnet18,0.3,0.3,100,76.34,76.49
cifar10,resnet18,0.3,0.4,100,76.85,76.87
