dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
tinyimagenet200,resnet18,0,-3,100,3.68,3.81
tinyimagenet200,alexnet,0,-3,100,0.8,0.83
tinyimagenet200,vgg16_bn,0,-3,100,1.22,1.29
cifar100,alexnet,0,-3,100,7.73,8.11
cifar100,vgg16_bn,0,-3,100,3.77,3.89
cifar10,resnet18,0,-3,100,42.55,42.66
cifar10,alexnet,0,-3,100,39.11,39.7
cifar10,vgg16_bn,0,-3,100,26.6,27.01
dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
tinyimagenet200,resnet18,0,-3,100,8.33,8.5
tinyimagenet200,alexnet,0,-3,100,5.07,5.36
tinyimagenet200,vgg16_bn,0,-3,100,2.4,2.4
cifar10,resnet18,0,-3,100,53.97,54.07
cifar10,alexnet,0,-3,100,49.98,50.45
cifar10,vgg16_bn,0,-3,100,42.5,42.71
cifar100,alexnet,0,-3,100,14.67,14.78
cifar100,vgg16_bn,0,-3,100,7.91,8.74
dataset,arch,layer_percent,channel_percent,epoch,final_acc,best_acc
tinyimagenet200,resnet18,1,0.01,100,29.48,29.56
tinyimagenet200,alexnet,1,0.01,100,15.2,15.8
tinyimagenet200,vgg16_bn,1,0.01,100,21.89,22.06
cifar10,resnet18,1,0.01,100,52.83,53.05
cifar10,alexnet,1,0.01,100,71.63,72.28
cifar10,vgg16_bn,1,0.01,100,83.59,84.11
cifar100,alexnet,1,0.01,100,38.04,38.52
cifar100,vgg16_bn,1,0.01,100,58.64,58.95
